project,bug_id,classname,method_name,label
Closure,144,com.google.javascript.rhino.jstype.FunctionType,cloneWithNewReturnType,FN
Closure,147,com.google.javascript.jscomp.RuntimeTypeCheck,visitFunction,FN
Closure,148,com.google.javascript.jscomp.SourceMap,appendMappingTo,FN
Closure,148,com.google.javascript.jscomp.SourceMap,appendTo,FN
Closure,148,com.google.javascript.jscomp.SourceMap,escapeString,FN
Closure,148,com.google.javascript.jscomp.SourceMap,findLastLine,FN
Closure,148,com.google.javascript.jscomp.SourceMap,isOverlapped,FN
Closure,148,com.google.javascript.jscomp.SourceMap,maybeVisit,FN
Closure,148,com.google.javascript.jscomp.SourceMap,openLine,FN
Closure,148,com.google.javascript.jscomp.SourceMap,prepMappings,FN
Closure,148,com.google.javascript.jscomp.SourceMap,setWrapperPrefix,FN
Closure,148,com.google.javascript.jscomp.SourceMap,visit,FN
Closure,148,com.google.javascript.jscomp.SourceMap,writeCharsBetween,FN
Closure,149,com.google.javascript.jscomp.AbstractCommandLineRunner,getOutputCharset,FN
Closure,149,com.google.javascript.jscomp.CommandLineRunner,createOptions,FN
Closure,149,com.google.javascript.jscomp.Compiler,toSource,FN
Closure,149,com.google.javascript.jscomp.CompilerOptions,setOutputCharset,FN
Closure,15,com.google.javascript.jscomp.FlowSensitiveInlineVariables,apply,FN
Closure,150,com.google.javascript.jscomp.TypedScopeCreator,LocalScopeBuilder,FN
Closure,151,com.google.javascript.jscomp.CommandLineRunner,applyToOptions,FN
Closure,151,com.google.javascript.jscomp.CommandLineRunner,initConfigFromFlags,FN
Closure,153,com.google.javascript.jscomp.Normalize,onRedeclaration,FN
Closure,153,com.google.javascript.jscomp.Normalize,removeDuplicateDeclarations,FN
Closure,153,com.google.javascript.jscomp.SyntacticScopeCreator,onRedeclaration,FN
Closure,154,com.google.javascript.jscomp.TypeCheck,checkDeclaredPropertyInheritance,FN
Closure,155,com.google.javascript.jscomp.InlineVariables,doInlinesForScope,FN
Closure,155,com.google.javascript.jscomp.InlineVariables,inlineNonConstants,FN
Closure,155,com.google.javascript.jscomp.InlineVariables,maybeEscapedOrModifiedArguments,FN
Closure,155,com.google.javascript.jscomp.ReferenceCollectingCallback,visit,FN
Closure,155,com.google.javascript.jscomp.Scope,getArgumentsVar,FN
Closure,155,com.google.javascript.jscomp.Scope,toString,FN
Closure,156,com.google.javascript.jscomp.CollapseProperties,collapseDeclarationOfNameAndDescendants,FN
Closure,156,com.google.javascript.jscomp.CollapseProperties,updateFunctionDeclarationAtFunctionNode,FN
Closure,156,com.google.javascript.jscomp.CollapseProperties,updateObjLitOrFunctionDeclarationAtAssignNode,FN
Closure,156,com.google.javascript.jscomp.CollapseProperties,updateObjLitOrFunctionDeclarationAtVarNode,FN
Closure,157,com.google.javascript.jscomp.CodeGenerator,isSimpleNumber,FN
Closure,157,com.google.javascript.jscomp.RenamePrototypes,processPrototypeParent,FN
Closure,157,com.google.javascript.jscomp.RenamePrototypes,visit,FN
Closure,157,com.google.javascript.jscomp.parsing.IRFactory,transformAsString,FN
Closure,157,com.google.javascript.jscomp.parsing.IRFactory,transformNumberAsString,FN
Closure,158,com.google.javascript.jscomp.AbstractCommandLineRunner,Entry,FN
Closure,158,com.google.javascript.jscomp.AbstractCommandLineRunner,outputBestPhaseOrdering,FN
Closure,158,com.google.javascript.jscomp.CommandLineRunner,WarningGuardErrorOptionHandler,FN
Closure,158,com.google.javascript.jscomp.CommandLineRunner,createExterns,FN
Closure,158,com.google.javascript.jscomp.DiagnosticGroups,setWarningLevel,FN
Closure,159,com.google.javascript.jscomp.InlineFunctions,findCalledFunctions,FN
Closure,16,com.google.javascript.jscomp.ScopedAliases,applyAlias,FN
Closure,16,com.google.javascript.jscomp.ScopedAliases,fixTypeNode,FN
Closure,162,com.google.javascript.jscomp.Scope,getVarIterable,FN
Closure,162,com.google.javascript.jscomp.ScopedAliases,enterScope,FN
Closure,162,com.google.javascript.jscomp.ScopedAliases,findAliases,FN
Closure,162,com.google.javascript.jscomp.ScopedAliases,fixTypeNode,FN
Closure,162,com.google.javascript.jscomp.ScopedAliases,visit,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,ProcessProperties,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,addGlobalUseOfSymbol,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,addSymbolUse,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,getFunctionNode,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,getModule,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,getPrototypePropertyNameFromRValue,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,getRootVar,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,isGlobalFunctionDeclaration,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,processGlobalFunctionDeclaration,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,processNonFunctionPrototypeAssign,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,processPrototypeParent,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,processPrototypeRef,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,traverseEdge,FN
Closure,163,com.google.javascript.jscomp.AnalyzePrototypeProperties,visit,FN
Closure,163,com.google.javascript.jscomp.CrossModuleMethodMotion,moveMethods,FN
Closure,164,com.google.javascript.rhino.jstype.ArrowType,hasEqualParameters,FN
Closure,164,com.google.javascript.rhino.jstype.ArrowType,isSubtype,FN
Closure,165,com.google.javascript.rhino.jstype.JSTypeRegistry,canPropertyBeDefined,FN
Closure,165,com.google.javascript.rhino.jstype.ObjectType,defineSynthesizedProperty,FN
Closure,165,com.google.javascript.rhino.jstype.RecordType,getGreatestSubtypeHelper,FN
Closure,165,com.google.javascript.rhino.jstype.RecordType,isSynthetic,FN
Closure,165,com.google.javascript.rhino.jstype.RecordTypeBuilder,build,FN
Closure,165,com.google.javascript.rhino.jstype.RecordTypeBuilder,setSynthesized,FN
Closure,166,com.google.javascript.rhino.jstype.PrototypeObjectType,matchConstraint,FN
Closure,167,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,caseAndOrNotShortCircuiting,FN
Closure,167,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,caseEquality,FN
Closure,167,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,caseNameOrGetProp,FN
Closure,167,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,maybeRestrictName,FN
Closure,167,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,maybeRestrictTwoNames,FN
Closure,167,com.google.javascript.rhino.jstype.JSType,getRestrictedTypeGivenToBooleanOutcome,FN
Closure,168,com.google.javascript.jscomp.TypedScopeCreator,declareArguments,FN
Closure,169,com.google.javascript.rhino.jstype.ArrowType,checkArrowEquivalenceHelper,FN
Closure,169,com.google.javascript.rhino.jstype.ArrowType,hasEqualParameters,FN
Closure,169,com.google.javascript.rhino.jstype.FunctionType,checkFunctionEquivalenceHelper,FN
Closure,169,com.google.javascript.rhino.jstype.FunctionType,hasEqualCallType,FN
Closure,169,com.google.javascript.rhino.jstype.JSType,differsFrom,FN
Closure,169,com.google.javascript.rhino.jstype.JSType,isEquivalentTo,FN
Closure,169,com.google.javascript.rhino.jstype.JSType,isInvariant,FN
Closure,169,com.google.javascript.rhino.jstype.RecordType,checkRecordEquivalenceHelper,FN
Closure,169,com.google.javascript.rhino.jstype.RecordType,getGreatestSubtypeHelper,FN
Closure,169,com.google.javascript.rhino.jstype.RecordType,isSubtype,FN
Closure,169,com.google.javascript.rhino.jstype.UnionType,checkUnionEquivalenceHelper,FN
Closure,17,com.google.javascript.jscomp.TypedScopeCreator,getDeclaredType,FN
Closure,170,com.google.javascript.jscomp.FlowSensitiveInlineVariables,visit,FN
Closure,171,com.google.javascript.jscomp.TypeInference,traverseObjectLiteral,FN
Closure,171,com.google.javascript.jscomp.TypedScopeCreator,isQualifiedNameInferred,FN
Closure,172,com.google.javascript.jscomp.TypedScopeCreator,isQualifiedNameInferred,FN
Closure,173,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,tryRotateAssociativeOperator,FN
Closure,174,com.google.javascript.jscomp.JsAst,parse,FN
Closure,174,com.google.javascript.jscomp.NodeUtil,newQualifiedNameNodeDeclaration,FN
Closure,174,com.google.javascript.jscomp.ScopedAliases,findAliases,FN
Closure,18,com.google.javascript.jscomp.Compiler,parseInputs,FN
Closure,19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,declareNameInScope,FN
Closure,20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,tryFoldSimpleFunctionCall,FN
Closure,24,com.google.javascript.jscomp.ScopedAliases,findAliases,FN
Closure,25,com.google.javascript.jscomp.TypeInference,traverseNew,FN
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModules,emitOptionalModuleExportsOverride,FN
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModules,visit,FN
Closure,26,com.google.javascript.jscomp.ProcessCommonJSModules,visitModuleExports,FN
Closure,27,com.google.javascript.rhino.IR,blockUnchecked,FN
Closure,27,com.google.javascript.rhino.IR,tryCatch,FN
Closure,27,com.google.javascript.rhino.IR,tryFinally,FN
Closure,28,com.google.javascript.jscomp.InlineCostEstimator,getCost,FN
Closure,29,com.google.javascript.jscomp.InlineObjectLiterals,isInlinableObject,FN
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariables,apply,FN
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariables,canInline,FN
Closure,3,com.google.javascript.jscomp.FlowSensitiveInlineVariables,enterScope,FN
Closure,30,com.google.javascript.jscomp.FlowSensitiveInlineVariables,process,FN
Closure,30,com.google.javascript.jscomp.MustBeReachingVariableDef,dependsOnOuterScopeVars,FN
Closure,30,com.google.javascript.jscomp.MustBeReachingVariableDef,visit,FN
Closure,31,com.google.javascript.jscomp.Compiler,parseInputs,FN
Closure,33,com.google.javascript.rhino.jstype.PrototypeObjectType,matchConstraint,FN
Closure,34,com.google.javascript.jscomp.CodePrinter,PrettyCodePrinter,FN
Closure,35,com.google.javascript.jscomp.TypeInference,inferPropertyTypesToMatchConstraint,FN
Closure,36,com.google.javascript.jscomp.InlineVariables,canInline,FN
Closure,37,com.google.javascript.jscomp.parsing.IRFactory,isDirective,FN
Closure,39,com.google.javascript.rhino.jstype.PrototypeObjectType,toStringHelper,FN
Closure,4,com.google.javascript.rhino.jstype.NamedType,resolveInternal,FN
Closure,40,com.google.javascript.jscomp.NameAnalyzer,visit,FN
Closure,41,com.google.javascript.jscomp.FunctionTypeBuilder,inferFromOverriddenFunction,FN
Closure,41,com.google.javascript.jscomp.FunctionTypeBuilder,inferParameterTypes,FN
Closure,42,com.google.javascript.jscomp.parsing.IRFactory,isDirective,FN
Closure,43,com.google.javascript.jscomp.TypedScopeCreator,attachLiteralTypes,FN
Closure,43,com.google.javascript.jscomp.TypedScopeCreator,getNativeType,FN
Closure,44,com.google.javascript.jscomp.CodeConsumer,add,FN
Closure,45,com.google.javascript.jscomp.RemoveUnusedVars,interpretAssigns,FN
Closure,46,com.google.javascript.rhino.jstype.RecordType,getLeastSupertype,FN
Closure,47,com.google.debugging.sourcemap.SourceMapConsumerV3,getOriginalMappingForEntry,FN
Closure,47,com.google.javascript.jscomp.SourceMap,addMapping,FN
Closure,48,com.google.javascript.jscomp.TypedScopeCreator,applyDelegateRelationship,FN
Closure,49,com.google.javascript.jscomp.MakeDeclaredNamesUnique,enterScope,FN
Closure,5,com.google.javascript.jscomp.InlineObjectLiterals,isInlinableObject,FN
Closure,51,com.google.javascript.jscomp.CodeConsumer,isNegativeZero,FN
Closure,53,com.google.javascript.jscomp.InlineObjectLiterals,replaceAssignmentExpression,FN
Closure,54,com.google.javascript.jscomp.TypedScopeCreator,applyDelegateRelationship,FN
Closure,54,com.google.javascript.rhino.jstype.FunctionType,setPrototypeBasedOn,FN
Closure,55,com.google.javascript.jscomp.FunctionRewriter,isReduceableFunctionExpression,FN
Closure,56,com.google.javascript.jscomp.SourceFile,getLine,FN
Closure,57,com.google.javascript.jscomp.ClosureCodingConvention,extractClassNameIfGoog,FN
Closure,58,com.google.javascript.jscomp.LiveVariablesAnalysis,computeGenKill,FN
Closure,6,com.google.javascript.jscomp.TypeValidator,expectCanAssignTo,FN
Closure,6,com.google.javascript.jscomp.TypeValidator,expectCanAssignToPropertyOf,FN
Closure,60,com.google.javascript.jscomp.NodeUtil,getImpureBooleanValue,FN
Closure,62,com.google.javascript.jscomp.LightweightMessageFormatter,format,FN
Closure,64,com.google.javascript.jscomp.Compiler,toSource,FN
Closure,67,com.google.javascript.jscomp.AnalyzePrototypeProperties,isPrototypePropertyAssign,FN
Closure,68,com.google.javascript.jscomp.parsing.JsDocInfoParser,parseBasicTypeExpression,FN
Closure,68,com.google.javascript.jscomp.parsing.JsDocInfoParser,parseFunctionType,FN
Closure,69,com.google.javascript.jscomp.TypeCheck,visitCall,FN
Closure,7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,caseObjectType,FN
Closure,70,com.google.javascript.jscomp.TypedScopeCreator,declareArguments,FN
Closure,71,com.google.javascript.jscomp.CheckAccessControls,checkPropertyVisibility,FN
Closure,72,com.google.javascript.jscomp.FunctionToBlockMutator,makeLocalNamesUnique,FN
Closure,72,com.google.javascript.jscomp.RenameLabels,visitLabel,FN
Closure,74,com.google.javascript.jscomp.PeepholeFoldConstants,getNormalizedNodeType,FN
Closure,75,com.google.javascript.jscomp.NodeUtil,isStrWhiteSpaceChar,FN
Closure,76,com.google.javascript.jscomp.DeadAssignmentsElimination,checkHookBranchReadBeforeKill,FN
Closure,76,com.google.javascript.jscomp.DeadAssignmentsElimination,isVariableReadBeforeKill,FN
Closure,76,com.google.javascript.jscomp.DeadAssignmentsElimination,isVariableStillLiveWithinExpression,FN
Closure,79,com.google.javascript.jscomp.Normalize,process,FN
Closure,79,com.google.javascript.jscomp.VarCheck,createSynthesizedExternVar,FN
Closure,8,com.google.javascript.jscomp.CollapseVariableDeclarations,isNamedParameter,FN
Closure,80,com.google.javascript.jscomp.NodeUtil,isBooleanResultHelper,FN
Closure,81,com.google.javascript.jscomp.parsing.IRFactory,isDirective,FN
Closure,82,com.google.javascript.rhino.jstype.JSType,isEmptyType,FN
Closure,83,com.google.javascript.jscomp.CommandLineRunner,parseArguments,FN
Closure,84,com.google.javascript.jscomp.parsing.IRFactory,processFunctionNode,FN
Closure,84,com.google.javascript.jscomp.parsing.IRFactory,transformAsString,FN
Closure,84,com.google.javascript.jscomp.parsing.IRFactory,validAssignmentTarget,FN
Closure,87,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,isFoldableExpressBlock,FN
Closure,88,com.google.javascript.jscomp.DeadAssignmentsElimination,isVariableReadBeforeKill,FN
Closure,9,com.google.javascript.jscomp.ProcessCommonJSModules,normalizeSourceName,FN
Closure,9,com.google.javascript.jscomp.ProcessCommonJSModules,visitScript,FN
Closure,90,com.google.javascript.jscomp.FunctionTypeBuilder,apply,FN
Closure,92,com.google.javascript.jscomp.ProcessClosurePrimitives,updateMinimumModule,FN
Closure,95,com.google.javascript.jscomp.TypedScopeCreator,defineSlot,FN
Closure,96,com.google.javascript.jscomp.TypeCheck,visitParameterList,FN
Closure,97,com.google.javascript.jscomp.PeepholeFoldConstants,tryFoldShift,FN
Closure,98,com.google.javascript.jscomp.ReferenceCollectingCallback,getSourceName,FN
